c3c92087-2e61-c809-7eff-b7e722b40d7e,2010-02-12 08:00:00+0000,"Young police officer Shane Cooper's first day on duty, after relocating to the small town of Red Hill, rapidly turns into a nightmare. News of a prison break, involving convicted murderer Jimmy Conway, sends the local law enforcement officers - led by the town's ruling presence, Old Bill - into a panic and leads to a terrifying and bloody confrontation.",http://www.youtube.com/watch?v=M9MouXxXREA,0,Red Hill,,{'aftercreditsstinger'},522b1fe2-2e36-4cef-a667-cd4237d08b89
7b090758-3299-7a2c-20f9-9f410e8478ab,1992-11-13 08:00:00+0000,A native American hero helps fight crooks.,http://www.youtube.com/watch?v=Ay0GHin-gQI,0,Desert Kickboxer ,,"{'kickboxer', 'native american', 'navajo', 'neo western', 'warrior'}",522b1fe2-2e36-4cef-a667-cd4237d08b89
68731055-8db2-e940-c91a-45c351722751,1999-10-14 10:00:00+0000,"By land, by air, and by sea, viewers can now experience the struggle that millions of creatures endure in the name of migration as wildlife photographers show just how deeply survival instincts have become ingrained into to the animals of planet Earth. From the monarch butterflies that swarm the highlands of Mexico to the birds who navigate by the stars and the millions of red crabs who make the perilous land journey across Christmas Island, this release offers a look at animal instinct in it's purest form.",http://www.youtube.com/watch?v=9I3Ue1ghJ9A,0,Amazing Journeys,,"{'imax', 'migration', 'nature', 'short', 'short film'}",522b1fe2-2e36-4cef-a667-cd4237d08b89
569e1950-ab66-9822-4a68-21300bc57225,2006-04-06 10:00:00+0000,An affair between the second in line to Britain's throne (Franco) and the princess of the feuding Irish (Myles) spells doom for the young lovers.,http://www.youtube.com/watch?v=LAJJay0Uv4M,0,Tristan & Isolde ,,"{'castle', 'hostility', 'in love with enemy', 'lovers', 'mord', 'rache', 'ritter', 'schlacht'}",522b1fe2-2e36-4cef-a667-cd4237d08b89
b7cd696d-ae4e-6bf8-333b-05911ef7f8ac,2007-09-25 10:00:00+0000,"When two brothers organize the robbery of their parents' jewelry store, the job goes horribly wrong, triggering a series of events that send them and their family hurtling towards a shattering climax.",http://www.youtube.com/watch?v=8Jhrxn7QVDc,0,Before the Devil Knows You're Dead,,"{'brother brother relationship', 'career', 'daughter', 'drug addiction', 'father', 'greed', 'hold-up robbery', 'investigation', 'office', 'shortage of money', 'woman between two men', 'workplace'}",d0f60aa8-54a9-4840-b70c-fe562b68842b
7e486aba-b077-4afd-1013-4785febe40b9,2008-11-12 08:00:00+0000,"Beautiful Carmen Colson and her ironworker husband Wayne are placed in the Federal Witness Protection program after witnessing an \"incident\". Thinking they are at last safe, they are targeted by an experienced hit man and a psychopathic young upstart killer.",http://www.youtube.com/watch?v=jxiUMyqyWPw,0,Killshot,,"{'hitman', 'kriminalfälle', 'thriller'}",d0f60aa8-54a9-4840-b70c-fe562b68842b
b0cc7106-6cbb-5849-3de8-ae366fc9cc3b,2006-06-27 10:00:00+0000,"Set 5 years after the end of Superman II, the film begins when Superman returns to discover his absence allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man Of Steel.",http://www.youtube.com/watch?v=SvB5SiSCQg8,0,Superman Returns,,"{'based on a comic', 'dc comics', 'invulnerability', 'kryptonite', 'lex luthor', 'save the world', 'sequel', 'superhero', 'superhuman strength', 'superman'}",d0f60aa8-54a9-4840-b70c-fe562b68842b
1297fc5f-17a5-def1-1f81-d794fecc464e,1973-06-13 10:00:00+0000,"The fifth and final episode in the Planet of the Apes series. After the collapse of human civilization, a community of intelligent apes led by Caesar lives in harmony with a group of humans. Gorilla General Aldo tries to cause an ape civil war and a community of human mutants who live beneath a destroyed city try to conquer those whom they perceive as enemies. All leading to the finale.",http://www.youtube.com/watch?v=K_M0nBKUurE,0,Battle for the Planet of the Apes ,,"{'ape', 'post-apocalypse'}",9761d3d7-7fbd-4269-9988-6cfd4e188678
812c643d-a3dc-f1ac-5bbd-ebbb53487031,1968-09-25 10:00:00+0000,Musical adaptation about an orphan who runs away from an orphanage and hooks up with a group of boys trained to be pickpockets by an elderly mentor.,http://www.youtube.com/watch?v=cw_ETnxuBys,0,Oliver ,,"{'orphan boy', 'pickpocket', 'victorian england'}",9761d3d7-7fbd-4269-9988-6cfd4e188678
9320e253-bb8d-8278-b98f-b958463ed542,1993-11-30 08:00:00+0000,"Jack Davis is a tough, outspoken cop who finds himself wrongly accused for the death of a fellow agent by the depraved and power hungry chief of Miami Customs, Martin Cullen. Disgraced and dismissed, Jack swears revenge and goes to work for Roberto Largo, a rich, evil Cuban crime boss, as bodyguard for his smoldering wife, Eva. Jack knows Largo is connected to his old boss Cullen and is determined to learn the secret that will bring him down. Trapped in a deadly game of cat and mouse, held captive by his passionate affair with Eva, Jack must figure out the significance of the mysterious Spanish Rose to survive.",http://www.youtube.com/watch?v=y6AzCTRV5rc,0,Point of Impact ,,"{'affair', 'bodyguard', 'cuban', 'deathxa0', 'miami', 'revenge'}",d0f60aa8-54a9-4840-b70c-fe562b68842b
